gene	length	GC%
SPEN	1029	43.3430515063168
ZBTB17	98	48.9795918367347
SRARP	2461	50.3860219422999
HSPB7	1552	57.9252577319588
CLCNKA	392	54.8469387755102
CLCNKB	363	55.0964187327824
FAM131C	668	63.1736526946108
EPHA2	878	52.619589977221
ARHGEF19	733	53.0695770804911
CPLANE2	356	57.5842696629214
FBXO42	3830	42.5587467362924
SZRD1	3005	53.3444259567388
SPATA21	122	54.9180327868852
NECAP2	1188	49.0740740740741
NBPF1	1624	41.6871921182266
CROCC	518	56.5637065637066
MFAP2	418	59.3301435406699
ATP13A2	263	61.9771863117871
SDHB	159	24.5283018867925
PADI2	2283	49.6276828734122
PADI1	1764	54.7619047619048
PADI3	1154	52.3396880415945
PADI4	249	53.4136546184739
PADI6	261	56.3218390804598
RCC2	2330	50.2145922746781
ARHGEF10L	489	49.2842535787321
ACTL8	544	49.8161764705882
IGSF21	157	44.5859872611465
KLHDC7A	2659	52.275291462956
PAX7	3937	50.2921005842012
ALDH4A1	1415	59.5053003533569
IFFO2	4281	52.3242233123102
UBR4	322	51.5527950310559
EMC1	3643	40.8729069448257
MRTO4	1298	50.6163328197227
AKR7L	170	44.1176470588235
AKR7A3	158	38.6075949367089
AKR7A2	260	48.0769230769231
SLC66A1	657	58.4474885844749
CAPZB	5949	46.3607328962851
MICOS10	3419	47.5577654284879
NBL1	1327	61.1152976639035
MICOS10-NBL1	783	57.3435504469987
HTR6	1598	56.7584480600751
TMCO4	800	53.25
RNF186	389	47.5578406169666
OTUD3	5199	42.5274091171379
PLA2G2E	298	55.7046979865772
PLA2G2A	263	52.851711026616
PLA2G5	1219	44.8728465955701
PLA2G2D	2175	53.6551724137931
PLA2G2F	1980	62.7272727272727
PLA2G2C	2738	51.5704894083272
UBXN10	4646	45.3508394317693
VWA5B1	5255	52.7687916270219
CAMK2N1	1258	35.8505564387917
MUL1	1242	55.2334943639291
FAM43B	1057	59.6972563859981
CDA	335	54.6268656716418
PINK1	820	47.1951219512195
DDOST	612	47.3856209150327
KIF17	568	61.0915492957746
SH2D5	2061	56.4289180009704
HP1BP3	4531	37.9165747075701
EIF4G3	831	30.9265944645006
ECE1	2708	58.97341211226
NBPF3	3888	46.1934156378601
ALPL	762	57.3490813648294
RAP1GAP	1247	61.0264635124298
USP48	1119	39.3208221626452
LDLRAD2	3010	61.328903654485
HSPG2	1072	61.8470149253731
CELA3B	453	47.9028697571744
CELA3A	75	44
CDC42	9843	41.9587524128822
WNT4	2737	54.3295579101206
ZBTB40	4761	50.9556815795001
EPHA8	1854	60.6796116504854
C1QA	271	54.6125461254613
C1QC	327	52.2935779816514
C1QB	251	51.394422310757
EPHB2	7930	54.3883984867591
TEX46	67	56.7164179104478
KDM1A	325	42.7692307692308
LUZP1	4865	46.9886947584789
HTR1D	1191	44.080604534005
HNRNPR	5766	30.922650017343
ZNF436	2521	40.2618008726696
TCEA3	557	44.8833034111311
ASAP3	1293	51.1214230471771
E2F2	3442	53.5153980244044
ID3	515	52.0388349514563
RPL11	462	45.2380952380952
ELOA	2486	43.6846339501207
PITHD1	856	46.6121495327103
LYPLA2	807	62.2057001239157
GALE	350	56
HMGCL	578	54.6712802768166
FUCA1	638	38.7147335423197
CNR2	4020	45.1243781094527
PNRC2	1569	33.7794773741236
SRSF10	6795	34.5253863134658
MYOM3	1323	51.8518518518518
IL22RA1	1034	54.5454545454545
IFNLR1	2962	51.2153950033761
GRHL3	830	46.144578313253
STPG1	1544	54.0155440414508
NIPAL3	3791	46.3202321287259
RCAN3	5763	39.4759673781017
NCMAP	3581	45.5738620497068
SRRM1	995	32.5628140703518
CLIC4	3384	33.5106382978723
RUNX3	2611	53.810800459594
SYF2	990	34.040404040404
RSRP1	1161	34.9698535745047
RHD	1649	42.4499696785931
TMEM50A	1656	38.6473429951691
RHCE	215	31.6279069767442
MACO1	1743	36.8330464716007
LDLRAP1	1894	55.0158394931362
MAN1C1	2598	48.3833718244804
SELENON	2503	57.2512984418698
RP1-317E23.6	202	56.4356435643564
MTFR1L	1062	46.1393596986817
AUNIP	987	44.8834853090172
PAQR7	1315	53.384030418251
STMN1	898	40.7572383073497
PAFAH2	2222	44.4194419441944
EXTL1	1117	64.5478961504029
SLC30A2	1908	57.1802935010482
TRIM63	572	49.1258741258741
PDIK1L	2966	32.5691166554282
FAM110D	1855	54.4474393530997
C1orf232	60	66.6666666666667
ZNF593OS	1116	63.3512544802867
ZNF593	185	57.2972972972973
CNKSR1	298	57.7181208053691
CATSPER4	422	60.9004739336493
CEP85	1515	50.2310231023102
SH3BGRL3	467	56.3169164882227
UBXN11	971	57.9814624098867
CD52	221	55.2036199095023
CRYBG2	270	52.2222222222222
ZNF683	16	31.25
LIN28A	3270	45.5963302752294
DHDDS	2966	52.6635198921106
HMGN2	1494	40.2275769745649
RPS6KA1	2528	56.5664556962025
ARID1A	1348	40.0593471810089
PIGV	2808	44.4444444444444
ZDHHC18	3761	57.165647434193
SFN	497	62.9778672032193
GPN2	3545	47.1932299012694
GPATCH3	522	57.27969348659
NUDC	690	53.4782608695652
NR0B2	356	51.685393258427
KDF1	507	52.2682445759369
TRNP1	1182	48.9847715736041
TENT5B	924	57.034632034632
SLC9A1	1498	59.0787716955941
WDTC1	2253	56.7243675099867
TMEM222	1396	60.1719197707736
SYTL1	78	53.8461538461538
MAP3K6	207	55.5555555555556
FCN3	126	49.2063492063492
CD164L2	871	61.0792192881745
GPR3	1023	49.9511241446725
WASF2	3959	52.4627431169487
AHDC1	657	46.8797564687976
FGR	850	50.8235294117647
IFI6	316	44.620253164557
FAM76A	2535	37.5936883629191
STX12	2114	36.2819299905393
PPP1R8	1226	40.9461663947798
THEMIS2	753	50.332005312085
RPA2	639	41.9405320813771
SMPDL3B	1449	55.3485162180814
XKR8	1768	57.4095022624434
EYA3	4122	46.555070354197
PTAFR	2827	51.998585072515
DNAJC8	970	44.4329896907216
ATP5IF1	1642	47.8684531059683
SESN2	1689	55.1213735938425
MED18	995	46.6331658291457
PHACTR4	3815	44.6657929226737
RCC1	1293	46.0943542150039
TRNAU1AP	909	42.3542354235423
TAF12	689	40.9288824383164
RAB42	1332	51.4264264264264
GMEB1	4580	44.4978165938865
YTHDF2	822	35.036496350365
OPRD1	7984	52.3421843687375
EPB41	4028	37.4875868917577
TMEM200B	1471	50.1019714479946
SRSF4	667	38.9805097451274
MECR	1365	50.9157509157509
PTPRU	1139	58.9113257243196
MATN1	2305	51.236442516269
LAPTM5	1359	46.9462840323767
SDC3	3744	57.6923076923077
PUM1	1705	34.0762463343109
NKAIN1	1958	55.5669050051072
SNRNP40	504	39.2857142857143
ZCCHC17	743	48.5868102288022
FABP3	633	48.3412322274881
SERINC2	478	64.0167364016736
TINAGL1	707	60.3960396039604
HCRTR1	338	51.7751479289941
PEF1	747	51.4056224899598
COL16A1	388	42.0103092783505
ADGRB2	303	61.056105610561
SPOCD1	179	46.927374301676
PTP4A2	2431	37.5565610859729
KHDRBS1	1253	33.9984038308061
TMEM39B	190	47.3684210526316
KPNA6	5669	46.7807373434468
TXLNA	3090	51.1003236245955
CCDC28B	589	55.1782682512733
IQCC	600	51.5
DCDC2B	295	57.2881355932203
TMEM234	1346	55.3491827637444
EIF3I	2783	48.8681279195113
FAM167B	255	61.1764705882353
LCK	446	50.8968609865471
HDAC1	582	43.9862542955326
MARCKSL1	758	48.0211081794195
TSSK3	56	41.0714285714286
FAM229A	163	55.8282208588957
BSDC1	3162	50.2530044275775
RP1-27O5.3	1818	41.3091309130913
ZBTB8B	11268	41.6577919772808
ZBTB8A	5522	39.5689967403115
ZBTB8OS	1042	41.4587332053743
RBBP4	6506	40.3166308023363
SYNC	1944	36.7798353909465
KIAA1522	2083	53.5765722515603
YARS1	2481	49.9395405078597
S100PBP	2837	40.4300317236517
FNDC5	2026	50.2467917077986
HPCA	784	60.3316326530612
TMEM54	210	55.7142857142857
RNF19B	357	34.453781512605
AK2	5195	44.0615976900866
AZIN2	3310	49.4864048338369
TRIM62	1778	53.3745781777278
ZNF362	1673	53.6162582187687
PHC2	1239	56.3357546408394
ZSCAN20	6167	47.283930598346
CSMD2	2626	49.2383853769992
HMGB4	39	35.8974358974359
C1orf94	370	38.9189189189189
SMIM12	5337	46.5617388045719
GJB5	360	57.2222222222222
GJB4	272	55.1470588235294
GJB3	789	54.8795944233207
GJA4	532	56.203007518797
DLGAP3	647	69.7063369397218
RP11-244H3.5	2987	51.7910947438902
RP11-244H3.4	742	41.644204851752
TMEM35B	409	33.2518337408313
ZMYM6	939	40.1490947816826
ZMYM1	365	33.972602739726
SFPQ	1520	36.5131578947368
ZMYM4	2381	36.7492650146997
KIAA0319L	1402	55.848787446505
NCDN	1116	59.9462365591398
TFAP2E	652	49.3865030674847
PSMB2	3726	42.6999463231347
C1orf216	1755	48.7179487179487
CLSPN	4384	44.0009124087591
AGO4	4285	40
AGO1	10823	43.7494225261018
AGO3	16755	37.1829304685169
TEKT2	1186	57.9258010118044
ADPRS	546	54.7619047619048
COL8A2	2330	53.175965665236
TRAPPC3	633	47.2353870458136
MAP7D1	591	54.3147208121827
THRAP3	1340	43.8059701492537
SH3D21	3850	66.1298701298701
EVA1B	264	66.2878787878788
STK40	3575	59.1888111888112
LSM10	322	53.1055900621118
OSCP1	229	47.1615720524017
MRPS15	70	38.5714285714286
CSF3R	314	50.6369426751592
GRIK3	6324	52.561669829222
ZC3H12A	1781	60.6400898371701
MEAF6	4106	41.8168533852898
SNIP1	3299	41.4367990300091
DNALI1	1795	43.2869080779944
GNL2	39	20.5128205128205
RSPO1	1405	49.5373665480427
C1orf109	1553	38.1841596909208
CDCA8	1353	49.0761271249076
EPHA10	2396	59.5158597662771
MANEAL	930	51.3978494623656
YRDC	980	42.0408163265306
C1orf122	379	54.353562005277
MTF1	5562	44.5882775979863
INPP5B	1618	48.1458590852905
SF3A3	1211	46.4079273327828
FHL3	635	57.7952755905512
UTP11	1192	42.3657718120805
POU3F1	1559	52.5336754329699
RRAGC	1355	39.6309963099631
MYCBP	2177	38.0339917317409
RP5-864K19.6	555	43.0630630630631
GJA9	482	37.1369294605809
RHBDL2	208	35.0961538461538
AKIRIN1	2004	40.0199600798403
NDUFS5	140	41.4285714285714
MACF1	1383	36.2979031091829
BMP8A	4071	52.8371407516581
PABPC4	320	34.0625
HEYL	3072	53.61328125
NT5C1A	7892	49.1510390268626
HPCAL4	3888	47.1450617283951
PPIE	4521	43.1762884317629
BMP8B	3237	49.3975903614458
OXCT2	179	58.659217877095
TRIT1	5711	41.7965330064787
MYCL	1944	48.7139917695473
MFSD2A	398	52.7638190954774
CAP1	1116	43.1899641577061
PPT1	1466	41.6780354706685
RLF	474	37.1308016877637
TMCO2	90	40
ZMPSTE24	2178	34.435261707989
COL9A2	693	54.978354978355
SMAP2	1221	47.4201474201474
ZFP69B	126	31.7460317460317
ZFP69	284	28.169014084507
EXO5	371	40.4312668463612
ZNF684	650	27.2307692307692
RIMS3	5837	52.7154360116498
NFYC	775	44.3870967741935
KCNQ4	1929	60.082944530845
CITED4	519	67.6300578034682
CTPS1	2957	45.6881974974636
SLFNL1	509	54.0275049115914
SCMH1	992	54.6370967741936
EDN2	634	56.1514195583596
HIVEP3	4086	51.2481644640235
GUCA2B	224	60.2678571428571
GUCA2A	216	61.5740740740741
FOXJ3	3171	39.8927783033743
RIMKLA	9258	44.5884640311082
ZMYND12	407	38.0835380835381
PPCS	1310	36.1068702290076
CCDC30	6078	44.4389601842711
PPIH	2057	43.4127369956247
YBX1	1856	41.0021551724138
CLDN19	2669	58.298988385163
P3H1	537	58.2867783985102
C1orf50	4097	44.3007078350012
RP5-994D16.12	672	47.9166666666667
TMEM269	2593	42.421905129194
SVBP	362	36.4640883977901
ERMAP	1759	43.7180216031836
ZNF691	664	49.0963855421687
SLC2A1	1688	46.1492890995261
FAM183A	83	43.3734939759036
EBNA1BP2	268	30.2238805970149
CFAP57	164	56.0975609756098
TMEM125	620	53.2258064516129
C1orf210	908	48.568281938326
TIE1	386	51.5544041450777
MPL	1694	45.4545454545455
CDC20	74	29.7297297297297
ELOVL1	518	57.9150579150579
MED8	1125	45.6888888888889
SZT2	3767	59.0921157419697
HYI	307	54.071661237785
PTPRF	1663	51.2928442573662
KDM4A	1148	51.0452961672474
RP11-7O11.7	3243	54.2399013259328
ST3GAL3	2764	49.9276410998553
ARTN	474	58.2278481012658
IPO13	340	55.5882352941177
DPH2	830	49.5180722891566
ATP6V0B	802	48.5037406483791
B4GALT2	2144	51.4925373134328
CCDC24	2196	57.9690346083789
SLC6A9	1062	60.2636534839925
KLF17	1903	47.2411981082501
DMAP1	55	58.1818181818182
ERI3	488	63.3196721311475
RNF220	948	54.2194092827004
TMEM53	1312	48.7042682926829
ARMH1	1014	64.2998027613412
KIF2C	588	49.1496598639456
RPS8	94	32.9787234042553
BEST4	625	50.24
PLK3	312	55.4487179487179
DYNLT4	110	41.8181818181818
BTBD19	357	64.4257703081232
PTCH2	477	52.6205450733753
EIF2B3	478	50.418410041841
HECTD3	944	54.2372881355932
UROD	6	33.3333333333333
ZSWIM5	2055	45.5474452554745
HPDL	446	43.0493273542601
RP4-534D1.6	353	53.5410764872521
TOE1	271	42.4354243542435
TESK2	957	47.4399164054336
CCDC163	1402	47.2895863052782
MMACHC	4167	45.5483561315095
PRDX1	415	42.4096385542169
AKR1A1	93	52.6881720430108
NASP	752	42.2872340425532
CCDC17	231	42.4242424242424
GPBP1L1	952	34.2436974789916
TMEM69	531	38.0414312617702
IPP	1255	40.3187250996016
MAST2	56	42.8571428571429
PIK3R3	3533	45.2589866968582
P3R3URF-PIK3R3	12	58.3333333333333
TSPAN1	429	52.9137529137529
P3R3URF	100	53
POMGNT1	2240	55.0892857142857
LURAP1	1036	46.5250965250965
RAD54L	2097	51.6928946113496
LRRC41	941	53.3475026567481
UQCRH	307	40.7166123778502
NSUN4	3172	43.6002522068096
FAAH	270	60.7407407407407
DMBX1	3722	53.0628694250403
TMEM275	828	55.7971014492754
KNCN	2089	54.2843465773097
MKNK1	1167	48.9288774635818
MOB3C	1930	52.0725388601036
ATPAF1	3039	40.8687068114511
EFCAB14	4946	40.3558431055398
CYP4B1	599	41.7362270450751
CYP4A11	927	51.9956850053937
CYP4X1	577	32.2357019064125
CYP4Z1	384	32.03125
CYP4A22	930	51.6129032258064
PDZK1IP1	389	57.0694087403599
TAL1	3428	47.607934655776
STIL	963	41.0176531671859
CMPK1	2094	31.7574021012416
FOXE3	777	57.9150579150579
FOXD2	1068	51.87265917603
TRABD2B	5374	51.7863788611835
SLC5A9	1101	47.2297910990009
SPATA6	3340	33.6826347305389
AGBL4	3039	46.067785455742
BEND5	367	46.3215258855586
ELAVL4	2569	31.5297781237836
DMRTA2	1115	48.609865470852
FAF1	4412	42.3617407071623
CDKN2C	363	34.9862258953168
C1orf185	315	31.7460317460317
RNF11	2125	31.9058823529412
TTC39A	4863	53.7117005963397
EPS15	2437	32.0886335658597
OSBPL9	1430	35.7342657342657
NRDC	45	35.5555555555556
RAB3B	11971	43.8726923398212
TXNDC12	802	41.1471321695761
RP11-91A18.6	1332	41.966966966967
KTI12	594	42.0875420875421
BTF3L4	3958	36.2809499747347
ZFYVE9	2450	41.7142857142857
CC2D1B	2926	46.9241285030759
ORC1	352	46.0227272727273
PRPF38A	4146	37.7472262421611
TUT4	660	27.7272727272727
GPX7	626	40.8945686900958
SHISAL2A	25	32
COA7	3271	44.084377866096
ZYG11B	5707	36.9020501138952
ZYG11A	2041	43.0671239588437
ECHDC2	1212	56.023102310231
SCP2	3983	42.1792618629174
PODN	1009	56.5906838453915
SLC1A7	2729	59.6189080249176
CPT2	2546	49.4893951296151
CZIB	560	42.8571428571429
MAGOH	145	29.6551724137931
LRP8	4654	39.2565535023636
DMRTB1	826	49.636803874092
GLIS1	382	57.3298429319372
NDC1	2492	35.3130016051364
YIPF1	546	45.6043956043956
DIO1	1087	41.4903403863845
HSPB11	216	34.2592592592593
LRRC42	229	33.1877729257642
LDLRAD1	1684	48.7529691211401
TMEM59	5469	38.8005119765954
TCEANC2	9609	45.2596524091997
RP11-446E24.4	2069	59.4973417109715
CDCP2	525	48.952380952381
CYB5RL	4968	50.4227053140097
MRPL37	82	41.4634146341463
SSBP3	1698	48.7043580683157
ACOT11	4463	45.0369706475465
FAM151A	87	63.2183908045977
MROH7	1837	58.7915078933043
MROH7-TTC4	3735	53.6010709504685
TTC4	1144	49.8251748251748
PARS2	836	47.9665071770335
TTC22	1531	52.5146962769432
LEXM	478	50.418410041841
DHCR24	4833	53.382991930478
TMEM61	185	43.2432432432432
BSND	8544	51.5566479400749
PCSK9	1268	55.9148264984227
USP24	2686	40.7297096053611
RP1-158P9.3	1002	30.439121756487
PLPP3	1790	40.3351955307263
PRKAA2	7622	32.9965888218315
FYB2	882	29.2517006802721
C8A	507	37.2781065088757
C8B	192	43.2291666666667
DAB1	3366	37.7005347593583
OMA1	1120	45.7142857142857
TACSTD2	752	43.8829787234042
MYSM1	5254	34.7544727826418
JUN	1284	42.9906542056075
FGGY	3299	38.8602606850561
HOOK1	3357	30.9204647006256
CYP2J2	1755	44.5014245014245
C1orf87	279	39.7849462365591
NFIA	7468	37.4531333690412
TM2D1	2644	38.1996974281392
PATJ	2861	39.7063963649074
L1TD1	956	45.397489539749
KANK4	2112	44.3181818181818
USP1	823	31.1057108140948
DOCK7	6394	40.6944010009384
ANGPTL3	1496	27.072192513369
ATG4C	1357	30.1400147383935
FOXD3	633	45.0236966824645
ALG6	1533	31.0502283105023
ITGB3BP	403	37.7171215880893
EFCAB7	177	20.9039548022599
PGM1	546	45.4212454212454
ROR1	2643	34.0522133938706
UBE2U	160	36.25
CACHD1	1492	37.5335120643432
RAVER2	2244	36.4527629233512
JAK1	7093	45.4955590018328
AK4	5968	39.8290884718499
DNAJC6	2846	35.0667603654252
LEPROT	4088	38.3561643835616
LEPR	4544	34.7491197183099
PDE4B	1895	40.7915567282322
SGIP1	8044	30.979612133267
DYNLT5	1593	32.0778405524168
INSL5	273	35.1648351648352
DNAI4	3728	39.2435622317597
MIER1	3719	30.4920677601506
SLC35D1	4990	40.2204408817635
C1orf141	3915	33.6143039591315
IL23R	851	41.5981198589894
IL12RB2	2635	46.1859582542695
SERBP1	5397	34.6118213822494
GADD45A	560	31.7857142857143
GNG12	3976	36.5191146881288
DIRAS3	722	32.9639889196676
WLS	866	40.9930715935335
RPE65	954	28.3018867924528
DEPDC1	2780	31.2589928057554
LRRC7	22477	37.0956978244428
LRRC40	995	27.2361809045226
SRSF11	2247	31.4641744548287
ANKRD13C	3718	32.8133405056482
CTH	724	35.4972375690608
PTGER3	5584	32.5214899713467
ZRANB2	1842	32.6818675352877
NEGR1	11503	35.7819699208902
LRRIQ3	3432	30.2156177156177
FPGT-TNNI3K	5437	34.8537796578996
FPGT	2870	30.5574912891986
TNNI3K	446	34.9775784753363
LRRC53	502	29.0836653386454
ERICH3	2335	35.7173447537473
CRYZ	806	30.272952853598
TYW3	2564	36.0374414976599
LHX8	638	28.0564263322884
SLC44A5	2132	36.1632270168855
ACADM	3583	43.2040189785096
RABGGTB	436	27.7522935779816
MSH4	355	22.5352112676056
ASB17	79	32.9113924050633
ST6GALNAC3	5797	34.9318613075729
ST6GALNAC5	4340	37.6036866359447
PIGK	3385	32.7621861152142
AK5	1292	39.1640866873065
ZZZ3	3224	34.212158808933
USP33	1326	36.4253393665158
MIGA1	4475	33.6983240223464
NEXN	1066	32.0825515947467
FUBP1	4711	30.6516663128847
DNAJB4	1717	28.246942341293
GIPC2	2701	32.3583857830433
PTGFR	4014	33.8814150473343
IFI44L	4336	37.3385608856089
IFI44	262	28.2442748091603
ADGRL4	1194	28.3082077051926
ADGRL2	6131	39.2758114500082
TTLL7	4938	31.2879708383961
PRKACB	3193	33.9492640150329
SAMD13	1024	35.83984375
DNASE2B	150	32
RPF1	882	34.9206349206349
GNG5	239	33.8912133891213
SPATA1	1415	28.1978798586572
CTBS	5388	29.6028210838901
SSX2IP	3726	32.8502415458937
LPAR3	2244	38.9928698752228
MCOLN2	1102	41.470054446461
DNAI3	2255	42.4390243902439
MCOLN3	1610	38.1366459627329
SYDE2	1861	31.4347125201505
C1orf52	2676	35.9865470852018
BCL10	1851	31.7125877903836
DDAH1	2971	38.7411645910468
CCN1	908	37.1145374449339
ZNHIT6	4641	36.112906701142
COL24A1	1313	31.9116527037319
ODF2L	5367	34.3953791689957
CLCA2	1026	32.3586744639376
CLCA1	214	29.4392523364486
CLCA4	409	25.4278728606357
SH3GLB1	4941	36.7132159481886
SELENOF	1027	29.5034079844206
HS2ST1	5286	34.1278849791903
RP5-1052I5.2	1028	38.8132295719844
LMO4	4127	37.5333171795493
PKN2	2807	31.2789454934093
GTF2B	580	29.4827586206897
KYAT3	410	35.1219512195122
RBMXL1	3195	36.2441314553991
GBP3	1044	33.4291187739464
GBP1	1036	34.2664092664093
GBP2	2043	36.3191385217817
GBP7	407	24.3243243243243
GBP4	4110	38.661800486618
