#Ribo-seq raw count
len_ribo	es1_ribo	es2_ribo	es3_ribo	npc1_ribo	npc2_ribo	npc3_ribo
HSPE1P24	238	0	0	0	0	0	0
C1orf127	3573	0	0	1	0	1	5
CFL1P6	494	0	0	0	0	0	0
TARDBP	6071	28	16	49	15	23	22
AL109811.3	2205	0	0	0	0	0	0
MASP2	4251	0	0	0	1	3	0
AL109811.2	870	0	0	0	0	1	0
SRM	1894	398	379	539	219	244	372
EXOSC10	5991	636	241	713	409	587	739
AL109811.1	2682	0	0	0	0	0	0
EXOSC10-AS1	536	5	0	2	0	1	0
MTOR	12119	483	375	520	857	993	1145
MTOR-AS1	763	0	0	0	0	0	0
RNU6-537P	103	0	0	0	0	0	1
ANGPTL7	2224	0	0	0	0	1	0
RNU6-291P	107	3	1	0	8	13	8
RPL39P6	150	0	0	0	0	0	0
UBIAD1	5082	163	212	227	51	42	67
UBE2V2P3	437	0	0	0	0	1	0
AL031291.1	742	0	0	0	1	0	1
MTCYBP45	565	0	0	0	0	0	0
DISP3	6120	23	32	24	43	35	69
AL590989.1	1051	0	0	0	0	0	0
LINC01647	1351	0	0	0	0	0	1
AL031731.1	2094	0	0	0	0	0	0
FBXO2	3163	118	99	138	54	85	105
FBXO44	3527	169	97	150	268	297	441
FBXO6	1735	6	4	8	28	30	20
MAD2L2	3324	577	759	689	416	415	545
DRAXIN	7365	287	325	393	511	584	841
AGTRAP	2435	1477	1041	1644	562	414	607
C1orf167	6499	1	0	0	0	1	0
AL953897.1	1868	0	0	0	0	0	0
MTHFR	11978	82	22	63	61	60	82
CLCN6	8173	102	90	114	108	114	158
RF02156	173	0	0	0	0	0	0
RF02157	149	0	0	0	0	0	0
NPPA	1120	0	0	0	0	0	0
RF02158	108	0	0	0	0	0	0
NPPB	708	7	1	4	41	36	73
AL021155.1	2637	0	0	0	0	0	0
AL021155.2	3071	3	1	1	2	1	2
RNU5E-1	120	0	0	0	0	0	0
RNU5E-4P	120	62	90	79	30	30	21
KIAA2013	3281	37	41	52	43	34	70
PLOD1	5320	276	415	349	550	511	724
AL096840.2	595	0	0	0	0	0	0
MFN2	4973	198	160	262	281	271	399
AL096840.1	93	3	0	0	0	1	0
MIIP	2821	102	105	126	111	118	203
MIR6729	65	0	0	0	0	0	0
RN7SL649P	275	0	0	0	0	0	0
TNFRSF8	3812	414	469	555	18	14	17
RNU6-777P	104	0	0	0	0	0	0
RPL23AP89	255	1	0	0	3	4	2
AL357835.1	1196	0	0	0	0	0	0
MIR7846	96	0	0	0	0	0	0
TNFRSF1B	3778	2	4	3	1	1	4
MIR4632	61	0	0	0	0	0	0
RPL10P17	316	0	0	0	0	0	0
RF00156	3203	0	0	0	1	0	1
VPS13D	20768	119	66	130	128	195	216
SNORA59A	152	0	0	0	0	0	0
AC243836.1	438	0	0	0	0	0	0
DHRS3	3515	53	39	59	8	12	10
RNU6ATAC18P	101	0	0	0	0	0	0
MIR6730	67	0	0	0	0	0	0
AC254633.1	345	0	0	0	0	0	0
AADACL4	1575	0	0	0	0	0	1
AC244670.1	112	0	0	0	0	0	0
AADACL3	4055	5	2	0	1	1	0
C1orf158	4133	0	0	0	0	0	0
PRAMEF12	1786	0	0	0	0	0	0
PRAMEF1	2439	0	0	0	0	0	0
LINC01784	378	0	0	0	0	0	0
PRAMEF11	1845	0	0	0	0	0	0
PRAMEF30P	1417	0	0	0	0	0	0
HNRNPCL1	1108	0	0	0	0	0	0
PRAMEF2	1642	0	0	0	0	0	0
PRAMEF4	1828	0	0	0	0	0	0
PRAMEF10	1525	0	0	0	0	0	0
PRAMEF7	1660	0	0	0	0	0	0
RNU6-1072P	107	0	0	0	0	0	0
PRAMEF29P	1139	0	0	0	0	0	0
PRAMEF6	1784	0	0	0	0	0	0
PRAMEF28P	1450	0	0	0	0	0	0
PRAMEF27	1863	0	0	0	0	0	0
HNRNPCL3	1148	0	0	0	0	0	0
PRAMEF25	1918	0	0	0	0	0	0
PRAMEF34P	1447	0	0	0	0	0	0
PRAMEF35P	891	0	0	0	0	0	0
HNRNPCL2	1148	0	0	0	0	0	0
PRAMEF36P	1452	0	0	0	0	0	0
AC245056.1	384	0	0	0	0	0	0
PRAMEF26	1863	0	0	0	0	0	0
HNRNPCL4	882	0	0	0	0	0	0
PRAMEF9	1863	0	0	0	0	0	0
PRAMEF13	2300	0	0	0	0	0	0
PRAMEF18	2067	0	0	0	0	0	0
PRAMEF31P	1371	0	0	0	0	0	0
PRAMEF5	1720	0	0	0	0	0	0
PRAMEF32P	1068	0	0	0	0	0	0
RNU6-771P	107	0	0	0	0	0	0
PRAMEF8	1937	0	0	0	0	0	0
PRAMEF33	1518	0	0	0	0	0	0
PRAMEF15	1865	0	0	0	0	0	0
AC243961.1	384	0	0	0	0	0	0
PRAMEF14	2301	0	0	0	0	0	0
PRAMEF19	1440	0	0	0	0	0	0
PRAMEF17	1578	0	0	0	0	0	0
PRAMEF20	1597	0	0	0	0	0	0
LRRC38	2168	0	0	1	0	0	0
AL354712.1	477	0	0	0	0	0	0
BRWD1P1	371	0	0	0	0	1	0
PDPN	3707	1152	1238	1484	244	219	342
RNA5SP41	101	0	0	0	0	0	0
AL359771.1	379	0	0	0	0	0	0
RF00564	416	0	0	0	0	0	0
PRDM2	10923	26	9	38	137	162	206
KAZN	13860	29	19	30	128	127	186
RNU6-1265P	103	0	0	0	0	0	0
AL357873.1	1549	0	0	0	0	0	0
KAZN-AS1	2858	0	0	0	1	0	0
TBCAP2	326	0	0	0	0	1	0
AL031293.1	1453	0	0	0	0	0	0
TMEM51-AS1	11973	1	0	0	2	5	0
TMEM51	2238	37	42	65	32	31	31
C1orf195	559	0	0	0	0	0	0
AL035405.1	710	0	0	0	0	0	0
AL391094.1	966	0	0	0	0	0	0
FHAD1	12805	7	0	6	34	26	31
AL031283.2	3105	0	0	0	0	0	0
AL031283.3	727	0	1	0	0	0	0
AL031283.1	5178	0	0	0	0	0	1
EFHD2	2534	47	46	58	24	36	50
CTRC	3486	0	0	0	0	0	0
CELA2A	1519	0	0	0	0	0	1
CELA2B	1457	0	0	0	0	2	0
CASP9	5269	92	52	115	26	39	41
DNAJC16	8563	178	165	241	129	113	152
SCARNA21B	140	1	0	0	0	0	0
AL121992.3	346	0	0	0	0	0	0
AGMAT	3095	48	33	51	8	9	9
AL121992.1	2845	0	0	0	0	0	0
CHCHD2P6	447	0	1	0	0	0	0
RNU7-179P	68	0	0	0	0	0	0
CD24P1	225	0	0	0	0	0	0
DDI2	12178	182	80	240	147	195	194
RSC1A1	1854	0	0	0	0	0	0
AL121992.2	256	0	0	0	0	0	0
PLEKHM2	4134	85	48	101	502	497	691
AL450998.3	1533	0	0	0	0	2	0
SLC25A34	3338	0	0	0	0	0	0
SLC25A34-AS1	639	0	0	0	0	0	0
TMEM82	1443	5	2	4	4	1	5
FBLIM1	4351	213	175	223	92	87	118
RPL12P14	490	0	0	0	0	0	0
UQCRHL	2180	0	0	0	0	0	0
AL450998.1	438	0	2	2	0	1	1
AL450998.2	2473	18	18	43	26	40	25
SPEN	13447	220	52	154	905	1075	1250
AL034555.1	211	0	0	0	0	0	0
ZBTB17	4240	43	15	30	128	155	212
AL355994.4	563	0	0	0	0	0	0
AL355994.1	260	0	0	0	0	0	0
AL355994.5	236	0	0	0	0	0	0
TBC1D3P6	962	0	0	0	0	0	0
SRARP	3039	0	0	0	0	0	0
AL355994.3	466	0	0	0	0	0	0
HSPB7	3910	4	5	9	9	6	7
CLCNKA	3476	1	0	0	0	0	1
AL355994.2	704	0	1	1	0	0	1
CLCNKB	2939	2	6	0	4	4	7
FAM131C	1720	0	1	0	1	0	1
EPHA2	4141	319	280	304	993	1007	1492
AL451042.2	904	0	0	1	5	0	1
AL451042.1	544	0	0	0	0	0	0
ARHGEF19-AS1	439	0	0	0	0	0	0
ARHGEF19	3788	105	80	148	195	205	228
ANO7L1	1990	0	0	2	0	0	0
CPLANE2	1574	3	0	3	1	6	10
MT1XP1	186	0	0	0	0	0	0
FBXO42	9009	90	59	103	53	82	125
SZRD1	4742	57	63	95	64	61	78
RPL22P3	381	2	0	1	1	1	1
SPATA21	4506	1	0	0	0	0	0
NECAP2	5510	78	68	95	118	145	176
LINC01772	3245	0	0	0	0	0	1
CROCCP3	6905	6	0	2	21	29	31
RNU1-1	164	0	0	0	0	0	0
AL137802.2	1110	0	0	0	0	0	0
AL137802.3	1558	0	0	0	0	0	0
AL137802.1	327	0	0	0	0	0	0
LINC01783	2068	0	0	0	1	0	1
RNU1-6P	144	0	0	0	0	0	0
AL355149.1	882	0	1	0	0	0	0
NBPF1	12212	21	19	14	37	28	31
AL137798.1	339	0	0	0	0	0	0
CROCCP2	5606	13	2	7	29	44	39
AL137798.3	166	0	0	0	0	0	0
MST1P2	2291	0	0	0	0	0	2
AL137798.2	817	0	0	0	0	0	0
RNU1-3	164	0	0	0	1	0	3
AL021920.2	1351	0	0	0	0	0	0
EIF1AXP1	435	0	0	1	0	8	3
ESPNP	4903	0	0	0	0	2	0
AL021920.1	406	0	0	0	0	0	0
AL021920.3	819	0	0	0	0	0	0
CROCC	8875	170	52	126	259	346	472
CROCCP4	762	0	0	0	0	0	0
RNU1-4	164	0	0	0	0	0	0
MST1L	5298	0	0	1	0	0	0
BX284668.1	837	0	0	0	0	0	0
BX284668.3	882	0	0	0	0	0	0
MIR3675	73	0	0	0	0	0	0
BX284668.2	3293	1	6	2	2	2	4
RNU1-5P	144	0	0	0	0	0	0
BX284668.5	2130	1	2	1	3	3	3
BX284668.4	508	0	0	0	0	0	0
RNU1-2	164	2	0	2	0	0	7
BX284668.6	438	0	0	0	2	0	1
MFAP2	2915	489	687	638	621	612	829
AL049569.2	385	0	0	0	0	0	0
AL049569.1	636	0	0	0	2	0	0
ATP13A2	5253	144	105	159	128	165	214
SDHB	2462	365	268	470	110	185	195
PADI2	6000	39	14	31	17	44	30
AL590644.1	4676	0	0	0	0	0	0
AL590644.3	1228	0	0	0	0	0	0
PADI1	4903	0	0	0	1	0	0
PADI3	3189	4	2	3	6	29	14
MIR3972	87	0	0	0	0	0	0
PADI4	2971	0	0	0	0	0	0
PADI6	2396	1	0	0	0	0	0
RCC2-AS1	311	0	0	0	0	0	0
RCC2	4079	996	416	1095	261	383	425
ARHGEF10L	7954	43	42	53	68	95	132
AL136529.1	1328	0	0	0	0	0	0
ACTL8	1844	8	1	7	0	2	0
AL357509.1	2013	0	0	0	0	0	0
LINC01654	2471	0	0	0	0	0	0
IGSF21	3033	43	44	49	39	43	100
AL365209.1	6473	0	0	1	0	1	0
IGSF21-AS1	430	0	0	0	0	0	0
AL591896.1	491	1	0	0	0	0	0
KLHDC7A	5145	29	13	24	8	10	17
DYNLL1P3	266	0	0	0	0	0	0
AL031737.1	223	0	0	0	0	0	0
PAX7	6473	13	5	22	255	308	376
TAS1R2	2542	0	0	0	0	0	0
ALDH4A1	3632	143	96	180	67	79	91
MIR4695	74	0	0	0	0	0	0
MIR1290	78	0	0	0	0	0	0
IFFO2	6179	33	17	32	72	85	107
AL137127.1	3402	0	0	0	1	0	0
UBR4	24661	1176	366	1250	1308	2199	2304
EMC1-AS1	507	0	0	1	0	1	1
EMC1	9602	558	554	744	535	541	725
MRTO4	2556	512	314	516	416	495	525
AL035413.2	339	0	0	0	0	1	0
AKR7L	2768	0	0	0	3	3	1
AKR7A3	1215	0	0	1	0	1	2
AL035413.1	525	0	0	0	0	0	0
AKR7A2	1781	79	57	87	78	101	122
RNU6-1099P	107	0	0	0	0	0	0
PQLC2	2686	81	69	108	82	93	112
CAPZB	3239	1173	1083	1527	1175	1282	1556
RN7SL277P	288	2	2	2	4	3	6
MICOS10	5480	9	2	3	1	1	0
RNU4-28P	141	0	0	0	0	0	0
AL031727.2	207	0	0	0	0	0	0
NBL1	3596	3	5	7	3	5	4
MICOS10-NBL1	1276	0	0	0	0	0	0
AL031727.1	455	2	2	0	5	4	8
HTR6	3800	3	1	2	0	0	1
TMCO4	4054	48	30	58	11	12	19
RNF186	1255	0	0	0	0	0	0
AL391883.1	447	0	0	0	0	0	0
