#RiboTaper 3nt results (doi:10.1038/nmeth.3688)
type	distance	counts	per	from	col
stop_codon	-21	6115	1.74797189524174	ribo	0
stop_codon	-20	2691	0.769221973850455	ribo	1
stop_codon	-19	2939	0.840112739184871	ribo	2
stop_codon	-18	8296	2.37141044038029	ribo	0
stop_codon	-17	2975	0.85040333415277	ribo	1
stop_codon	-16	2525	0.721770897054031	ribo	2
stop_codon	-15	10027	2.86621654842011	ribo	0
stop_codon	-14	5268	1.5058570636359	ribo	1
stop_codon	-13	1857	0.53082319042746	ribo	2
stop_codon	-12	704	0.201238301594471	ribo	0
stop_codon	-11	1771	0.50624010244859	ribo	1
stop_codon	-10	1372	0.392186008221042	ribo	2
stop_codon	-9	476	0.136064533464443	ribo	0
stop_codon	-8	1815	0.518817496298244	ribo	1
stop_codon	-7	2167	0.61943664709548	ribo	2
stop_codon	-6	452	0.129204136819177	ribo	0
stop_codon	-5	1234	0.352738727510762	ribo	1
stop_codon	-4	1736	0.49623535734091	ribo	2
stop_codon	-3	411	0.117484292550181	ribo	0
stop_codon	-2	1216	0.347593430026813	ribo	1
stop_codon	-1	1416	0.404763402070696	ribo	2
stop_codon	0	513	0.146640978292562	ribo	0
stop_codon	1	892	0.254978075315721	ribo	1
stop_codon	2	1502	0.429346490049566	ribo	2
stop_codon	3	435	0.124344689195447	ribo	0
stop_codon	4	1526	0.436206886694832	ribo	1
stop_codon	5	1979	0.565696873374229	ribo	2
stop_codon	6	496	0.141781530668832	ribo	0
stop_codon	7	1440	0.411623798715962	ribo	1
stop_codon	8	1242	0.355025526392518	ribo	2
stop_codon	9	438	0.125202238776105	ribo	0
stop_codon	10	973	0.278131913993494	ribo	1
