#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
PRKCZ	7695	1265	1701	1109	1937	2615	2329
AL590822.2	4196	0	0	0	0	0	1
PRKCZ-AS1	1734	41	55	34	89	148	130
FAAP20	10916	502	698	231	874	1246	1113
AL590822.1	326	0	3	0	1	2	0
SKI	6550	3442	4544	2181	4405	5342	4649
AL590822.3	5794	17	37	3	51	101	56
MORN1	11337	223	329	143	418	563	493
AL589739.1	493	0	0	1	0	1	3
AL513477.1	2407	73	73	49	97	124	95
AL513477.2	568	2	4	7	17	14	17
RER1	5689	1777	2303	1619	2698	3759	3389
PEX10	3789	755	937	436	717	921	756
PLCH2	10809	8	4	2	42	35	24
AL139246.1	455	0	0	0	1	1	1
AL139246.4	514	0	0	0	2	3	4
PANK4	5109	542	755	274	1332	1871	1551
HES5	1324	8	8	0	124	174	123
AL139246.5	1531	14	24	11	48	80	45
TNFRSF14-AS1	6137	0	0	0	1	0	0
TNFRSF14	6219	2	9	0	8	7	6
AL139246.2	1297	0	0	0	0	0	0
AL139246.3	626	0	0	0	0	0	0
PRXL2B	3371	1107	1338	452	749	955	870
MMEL1	3870	7	7	2	10	6	6
AL831784.1	373	1	0	0	4	0	0
TTC34	8814	9	10	11	79	68	74
AC242022.2	593	0	0	0	0	0	0
AC242022.1	1565	0	0	0	0	0	0
AL592464.2	607	0	0	0	0	0	0
AL592464.3	663	0	0	0	0	0	0
AL592464.1	429	0	0	0	0	0	0
AL589702.1	1654	0	0	0	0	0	0
ACTRT2	1421	0	1	0	0	0	0
PRDM16-DT	5600	13	10	9	74	139	91
PRDM16	9767	157	159	99	1131	1431	1363
MIR4251	61	0	0	0	2	9	5
AL008733.1	469	0	0	0	0	0	0
AL512383.1	2677	4	2	1	24	40	30
AL590438.1	3461	0	0	0	0	0	0
AL354743.2	728	0	0	0	0	3	0
AL354743.1	2784	0	0	0	0	0	0
ARHGEF16	5324	513	698	222	365	429	425
AL512413.1	382	0	3	0	3	3	5
MEGF6	9021	428	583	219	958	1206	1153
MIR551A	96	0	0	0	3	11	2
AL513320.1	622	1	0	1	3	7	6
TPRG1L	2401	941	1296	642	1673	2173	1972
WRAP73	7634	412	628	203	521	708	668
TP73	6767	104	122	48	107	148	95
AL136528.1	754	0	0	0	0	0	0
AL136528.2	351	0	0	0	0	0	0
TP73-AS1	9701	1489	1885	1063	2344	3074	2748
RF02197	161	0	0	0	0	0	0
CCDC27	4238	0	3	2	0	0	0
SMIM1	981	13	17	0	18	16	25
LRRC47	4509	3687	4892	3315	2424	3198	2819
RN7SL574P	297	0	0	2	2	2	1
AL365330.1	531	1	0	0	0	2	1
CEP104	7871	765	1049	878	1108	1499	1458
DFFB	3870	323	416	208	170	253	208
C1orf174	4388	431	644	330	479	631	653
LINC01134	4084	14	31	7	18	33	27
LINC01346	5054	0	0	0	0	1	0
LINC01345	2168	0	0	0	0	0	0
AL805961.1	1835	0	0	0	0	0	0
AL805961.2	4817	1	1	0	0	0	3
EEF1DP6	372	0	0	0	0	0	0
LINC01777	2574	0	0	0	0	0	0
AL355602.1	3402	0	0	0	0	0	0
Z98747.1	356	0	0	0	0	0	0
LINC01646	3328	0	0	0	0	0	0
AJAP1	12405	1068	1307	1107	66	90	109
Z98886.1	3225	0	0	0	0	0	0
BX005132.2	464	0	0	0	0	0	0
BX005132.1	1580	0	0	0	0	0	0
AL691497.1	449	5	4	4	0	0	0
AL139823.1	1225	0	0	0	0	0	0
Z98259.3	2316	0	0	0	0	0	0
Z98259.2	609	1	0	0	0	0	0
Z98259.1	1697	0	0	0	0	0	0
Z97988.2	135	0	0	0	0	0	0
AL365255.1	1095	0	1	0	0	0	0
Z97988.1	73	0	0	0	0	0	0
MIR4689	70	2	0	0	0	1	1
NPHP4	13167	685	845	386	1071	1344	1189
KCNAB2	17329	116	138	91	475	604	511
CHD5	10094	208	309	135	182	250	157
AL031847.2	663	2	0	0	1	2	4
RPL22	4665	1611	1753	1679	2312	3195	3193
AL031847.1	378	7	14	5	2	2	2
RNF207	6595	75	102	32	109	155	162
ICMT	4910	6591	7828	6241	5464	7479	6821
LINC00337	2358	137	196	102	59	68	58
HES3	697	1056	1798	535	190	178	207
GPR153	4198	912	1157	408	1279	1738	1245
ACOT7	4124	3061	4141	1550	2667	3543	3108
AL031848.2	837	3	16	9	10	26	19
HES2	5407	86	137	66	346	475	434
ESPN	6952	223	305	85	214	249	210
MIR4252	63	0	0	0	0	0	0
AL031848.1	351	1	6	0	1	0	6
TNFRSF25	4283	107	137	78	176	282	216
PLEKHG5	7053	655	948	364	853	1121	911
NOL9	7271	3585	4150	4209	2656	3720	3489
RNU6-731P	111	0	0	0	0	0	0
AL591866.1	401	0	0	0	0	0	0
TAS1R1	2764	1	1	0	4	6	4
ZBTB48	4510	413	561	351	969	1319	1284
KLHL21	6901	1173	1503	614	1328	1745	1425
PHF13	3632	2408	2831	1935	3955	5116	4580
THAP3	4072	189	263	119	679	893	749
DNAJC11	5083	3259	4261	2447	2359	3008	2700
LINC01672	2188	0	0	0	0	0	0
AL591163.1	987	0	0	0	0	0	0
CAMTA1-DT	415	21	12	18	46	40	27
CAMTA1	9903	578	911	542	872	1340	1247
AL590128.1	286	0	0	0	0	0	0
AL512330.1	349	0	0	0	0	0	0
RNU1-8P	165	0	0	0	1	0	0
CAMTA1-IT1	365	0	1	0	5	6	10
Z97987.1	744	0	0	0	0	0	0
AL365194.1	361	0	0	0	0	0	1
AL359881.3	1721	0	2	0	4	3	3
AL359881.2	570	6	2	0	3	2	5
AL359881.1	267	0	1	1	4	8	14
VAMP3	2733	927	1081	1062	1231	1765	1642
Z98884.2	393	10	9	7	14	12	18
PER3	8099	279	371	293	788	1042	1017
Z98884.1	830	0	0	0	0	0	0
UTS2	1791	1	0	0	2	1	0
TNFRSF9	6331	0	1	0	2	5	3
AL009183.1	355	0	0	0	0	0	0
PARK7	2397	2863	4007	3148	3302	4644	4259
RF00019	78876	398	454	558	712	1039	965
AL034417.4	4116	13	14	7	18	23	19
AL034417.3	1043	0	0	0	1	0	0
ERRFI1	4179	1556	1931	1723	1606	2278	2023
AL034417.2	2044	0	2	1	4	9	4
AL034417.1	800	0	0	0	0	0	0
AL358876.1	1075	0	0	0	0	0	0
LINC01714	1001	3	0	1	0	0	0
RNU1-7P	164	0	0	0	0	0	0
AL358876.2	477	0	1	0	0	0	0
RNU6-991P	107	0	0	0	0	0	0
SLC45A1	2888	18	46	12	17	32	26
RERE	14112	5399	6972	4948	6409	8303	7583
RERE-AS1	1178	6	2	4	1	5	1
RF00599	237	0	1	1	0	5	0
AL096855.1	369	0	0	0	0	0	0
RPL7P11	658	0	0	0	0	0	0
RPL7P7	703	15	21	33	54	73	69
AL357552.1	415	0	0	0	0	0	0
AL357552.2	353	13	20	23	40	68	71
RPL23AP19	369	0	0	0	0	0	0
ENO1	5216	52384	69382	45633	115808	146918	135601
MIR6728	89	2	3	0	3	5	2
ENO1-AS1	456	10	2	4	6	8	6
RNU6-304P	107	0	0	0	0	0	0
HMGN2P17	743	0	3	0	1	0	0
AL139415.1	352	0	0	0	0	0	0
AL139415.2	163	0	0	0	0	0	0
CA6	2662	0	0	0	0	0	0
RN7SL451P	299	0	0	0	0	0	0
SLC2A7	1539	0	0	0	1	1	0
SLC2A5	6693	2	7	3	0	0	3
RF00424	909	0	0	0	0	0	0
GPR157	5304	222	287	161	373	501	476
MIR34AHG	8702	202	232	155	710	935	802
MIR34A	110	0	0	0	0	0	0
LNCTAM34A	2141	22	27	17	112	130	136
H6PD	9321	659	829	448	2755	3730	3147
SPSB1	3389	247	365	191	454	564	478
BX323043.1	1765	0	0	0	3	0	0
LINC02606	2623	3	6	6	6	20	8
RNA5SP40	110	2	1	0	2	0	1
AL928921.1	708	0	0	0	0	0	0
SLC25A33	3865	915	1071	1014	1205	1610	1422
AL954705.1	559	35	32	25	39	57	45
TMEM201	6981	971	1260	449	1082	1336	1099
PIK3CD	6332	998	1284	561	963	1285	1121
PIK3CD-AS1	1823	0	0	0	0	0	0
AL691449.1	421	0	0	0	0	0	0
PIK3CD-AS2	939	24	34	25	11	26	22
CLSTN1	5683	5983	7774	4947	13607	17169	15396
MZT1P1	246	0	0	0	0	0	0
AL357140.3	1983	1	0	0	3	4	3
CTNNBIP1	3339	1013	1364	672	4167	5753	4921
AL357140.1	424	0	0	0	0	0	0
AL357140.4	762	0	0	0	0	0	0
LZIC	5459	330	450	475	896	1194	1272
AL357140.2	440	2	3	3	10	7	6
NMNAT1	4610	137	132	147	526	635	601
RN7SKP269	319	3	5	9	18	31	32
TMEM274P	444	0	0	0	2	1	1
MIR5697	78	3	3	0	1	4	4
AL603962.1	436	0	0	0	0	0	0
RBP7	862	21	43	15	21	40	26
UBE4B	9128	4780	5909	4705	4631	6147	5895
AL590639.1	337	0	0	0	0	0	0
PGAM1P11	680	6	5	5	16	12	12
RNU6-828P	107	2	1	2	0	3	5
KIF1B	17720	7671	8679	9523	11399	15820	15526
AL358013.1	86	0	0	2	0	0	0
RNU6-37P	107	0	0	0	3	3	0
RN7SL731P	293	0	0	0	0	0	0
AL139424.3	2381	1	0	0	4	2	2
AL139424.2	1477	3	9	2	5	17	10
PGD	3333	11276	14773	10141	12870	17606	15629
AL139424.1	797	3	2	2	8	9	13
CENPS-CORT	2244	0	0	0	0	2	1
CENPS	1748	3	5	9	19	10	17
CORT	1130	5	2	3	2	10	8
DFFA	6625	2879	3776	3134	5581	7385	7206
AL354956.1	467	0	0	0	0	0	2
PEX14	2932	498	632	276	700	935	856
AL139423.2	2876	0	0	0	0	0	2
RN7SL614P	280	1	1	2	4	4	1
CASZ1	11336	291	442	209	961	1262	1146
AL139423.1	7923	0	0	3	0	2	0
HSPE1P24	238	0	0	0	0	0	0
C1orf127	3573	13	4	7	24	21	17
CFL1P6	494	0	0	2	3	2	1
TARDBP	6071	2201	2806	3170	2781	3819	3908
AL109811.3	2205	0	0	0	1	0	3
MASP2	4251	7	16	9	6	5	2
AL109811.2	870	11	5	6	24	30	40
SRM	1894	2347	3206	1275	1217	1573	1260
EXOSC10	5991	1773	2242	1841	2365	3227	3026
AL109811.1	2682	0	3	1	3	2	11
EXOSC10-AS1	536	10	9	4	6	15	4
MTOR	12119	6591	7914	5650	6562	8907	8406
MTOR-AS1	763	0	0	1	0	0	0
RNU6-537P	103	0	0	0	0	0	0
ANGPTL7	2224	0	0	0	7	7	11
RNU6-291P	107	0	0	0	0	0	0
RPL39P6	150	0	0	0	0	0	0
UBIAD1	5082	1098	1283	842	1155	1477	1395
UBE2V2P3	437	0	0	0	0	0	0
AL031291.1	742	0	0	0	0	0	1
MTCYBP45	565	0	0	0	0	0	0
DISP3	6120	161	236	110	324	434	341
AL590989.1	1051	0	0	0	0	0	0
LINC01647	1351	0	6	0	2	1	4
AL031731.1	2094	0	0	0	0	0	0
FBXO2	3163	795	1160	289	1018	1363	1150
FBXO44	3527	449	615	198	744	928	905
FBXO6	1735	10	10	7	110	156	122
MAD2L2	3324	4968	7244	3365	3368	4384	4037
DRAXIN	7365	1920	2605	1748	5125	6840	5966
AGTRAP	2435	597	839	186	568	760	660
C1orf167	6499	9	14	11	11	17	18
AL953897.1	1868	0	0	0	0	0	1
MTHFR	11978	1072	1340	675	1214	1519	1410
CLCN6	8173	1037	1296	693	1443	1818	1639
RF02156	173	0	0	0	0	0	0
RF02157	149	0	0	0	0	0	0
NPPA	1120	0	0	0	0	1	0
RF02158	108	0	0	0	0	0	0
NPPB	708	1	6	1	92	114	82
AL021155.1	2637	0	0	0	0	0	0
AL021155.2	3071	252	322	338	478	613	557
RNU5E-1	120	0	0	0	0	0	0
RNU5E-4P	120	41	52	16	36	72	83
KIAA2013	3281	744	1006	475	1061	1389	1142
PLOD1	5320	1336	1933	737	3113	4058	3600
AL096840.2	595	0	1	5	0	2	0
MFN2	4973	4025	5282	3216	4563	6253	5559
AL096840.1	93	0	0	0	0	0	4
MIIP	2821	527	753	144	818	1076	918
MIR6729	65	0	0	0	0	0	0
RN7SL649P	275	0	0	0	0	0	0
TNFRSF8	3812	2230	3027	1214	68	72	82
RNU6-777P	104	0	0	0	0	0	0
RPL23AP89	255	0	2	0	0	0	0
AL357835.1	1196	0	0	0	0	0	0
MIR7846	96	0	0	0	0	0	0
TNFRSF1B	3778	54	76	22	37	43	42
MIR4632	61	0	0	0	0	0	0
RPL10P17	316	0	0	0	0	0	0
RF00156	3203	13	9	10	11	16	13
VPS13D	20768	3665	4123	4184	2804	3912	3789
SNORA59A	152	21	17	8	35	34	35
AC243836.1	438	0	0	0	0	0	1
DHRS3	3515	396	556	293	168	218	205
RNU6ATAC18P	101	0	0	0	1	0	1
MIR6730	67	0	0	0	0	0	2
AC254633.1	345	11	7	6	5	5	11
AADACL4	1575	0	0	0	0	1	0
AC244670.1	112	0	0	0	0	0	0
AADACL3	4055	71	68	59	9	5	7
C1orf158	4133	1	0	1	0	3	1
PRAMEF12	1786	0	0	0	0	0	0
PRAMEF1	2439	0	0	0	0	0	0
LINC01784	378	0	0	0	0	0	0
PRAMEF11	1845	0	0	0	0	0	0
PRAMEF30P	1417	0	0	0	0	0	0
HNRNPCL1	1108	0	2	1	0	1	1
PRAMEF2	1642	0	0	0	0	0	0
PRAMEF4	1828	0	0	0	0	0	0
PRAMEF10	1525	0	0	0	0	0	0
PRAMEF7	1660	0	0	0	0	0	0
RNU6-1072P	107	0	0	0	0	0	0
PRAMEF29P	1139	0	0	0	0	0	0
PRAMEF6	1784	0	0	0	0	0	0
PRAMEF28P	1450	0	0	0	0	0	0
PRAMEF27	1863	0	0	0	0	0	0
HNRNPCL3	1148	0	0	0	0	0	0
PRAMEF25	1918	0	0	0	0	0	0
PRAMEF34P	1447	0	0	0	0	0	0
PRAMEF35P	891	0	0	0	0	0	0
HNRNPCL2	1148	0	0	0	0	0	0
PRAMEF36P	1452	0	0	0	0	0	0
AC245056.1	384	0	0	0	0	0	0
PRAMEF26	1863	0	0	0	0	0	0
HNRNPCL4	882	0	0	0	0	0	0
PRAMEF9	1863	0	0	0	0	0	0
PRAMEF13	2300	0	0	0	0	0	0
PRAMEF18	2067	0	0	0	0	0	0
PRAMEF31P	1371	0	0	0	0	0	0
PRAMEF5	1720	0	0	0	0	0	0
PRAMEF32P	1068	0	0	0	0	0	0
RNU6-771P	107	0	0	0	0	0	0
PRAMEF8	1937	0	0	0	0	0	0
PRAMEF33	1518	0	0	0	0	0	0
PRAMEF15	1865	0	0	0	0	0	0
AC243961.1	384	0	0	0	0	0	0
PRAMEF14	2301	0	0	0	0	0	0
PRAMEF19	1440	0	0	0	0	0	0
PRAMEF17	1578	0	0	0	0	0	0
PRAMEF20	1597	0	0	0	0	0	0
LRRC38	2168	4	8	7	1	2	0
AL354712.1	477	1	0	0	0	0	0
BRWD1P1	371	0	0	0	0	0	0
PDPN	3707	3412	4431	3879	1065	1503	1342
RNA5SP41	101	0	0	0	0	0	0
AL359771.1	379	0	0	0	0	0	0
RF00564	416	2	3	1	5	5	2
PRDM2	10923	797	1027	876	1961	2741	2631
KAZN	13860	315	409	196	440	624	587
RNU6-1265P	103	0	0	0	0	0	0
AL357873.1	1549	0	0	0	0	0	0
KAZN-AS1	2858	0	0	0	0	3	0
TBCAP2	326	0	0	0	0	0	0
AL031293.1	1453	0	0	0	0	0	0
TMEM51-AS1	11973	98	117	68	60	62	42
TMEM51	2238	263	340	261	185	273	264
C1orf195	559	0	0	0	0	3	1
AL035405.1	710	0	0	0	0	0	0
AL391094.1	966	1	6	0	0	0	0
FHAD1	12805	43	58	49	110	119	100
AL031283.2	3105	0	3	0	1	3	0
AL031283.3	727	0	0	0	0	0	0
AL031283.1	5178	5	4	3	10	6	2
EFHD2	2534	1158	1580	810	515	729	595
CTRC	3486	1	0	1	0	4	0
CELA2A	1519	0	0	0	0	1	0
CELA2B	1457	0	0	2	0	0	0
CASP9	5269	331	480	217	406	520	472
DNAJC16	8563	905	1058	859	1194	1671	1615
SCARNA21B	140	2	0	1	1	2	1
AL121992.3	346	0	0	1	2	2	0
AGMAT	3095	155	177	107	71	84	70
AL121992.1	2845	3	1	1	5	3	9
CHCHD2P6	447	2	0	2	3	6	5
RNU7-179P	68	0	0	0	0	0	0
CD24P1	225	0	0	0	0	0	0
DDI2	12178	1777	2166	2526	1647	2329	2341
RSC1A1	1854	0	0	0	0	0	0
AL121992.2	256	0	0	0	0	0	0
PLEKHM2	4134	1688	2195	979	2712	3600	3176
AL450998.3	1533	0	0	0	0	0	0
SLC25A34	3338	5	3	4	24	39	17
SLC25A34-AS1	639	1	0	0	0	4	5
TMEM82	1443	0	1	4	4	5	3
FBLIM1	4351	2968	4074	2035	2300	3279	2848
RPL12P14	490	0	1	2	1	3	1
UQCRHL	2180	24	31	17	45	65	38
AL450998.1	438	0	0	0	0	0	1
AL450998.2	2473	80	73	37	135	227	170
SPEN	13447	2705	3407	3216	3946	5541	5276
AL034555.1	211	0	0	0	0	0	0
ZBTB17	4240	521	801	317	846	1078	922
AL355994.4	563	0	0	0	0	0	0
AL355994.1	260	0	0	0	0	0	0
AL355994.5	236	0	0	0	0	0	0
TBC1D3P6	962	0	0	0	0	0	0
SRARP	3039	0	1	0	1	4	4
AL355994.3	466	1	0	0	0	0	0
HSPB7	3910	0	1	2	3	1	0
CLCNKA	3476	27	21	14	3	8	3
AL355994.2	704	3	2	0	1	5	1
CLCNKB	2939	34	34	22	58	55	64
FAM131C	1720	8	17	2	22	18	17
EPHA2	4141	1271	1592	678	5236	7016	5895
AL451042.2	904	4	3	7	3	8	4
AL451042.1	544	5	2	3	4	5	3
ARHGEF19-AS1	439	0	0	0	0	0	0
ARHGEF19	3788	1733	2308	863	1865	2483	2135
ANO7L1	1990	4	4	7	8	5	10
CPLANE2	1574	76	129	33	120	147	131
MT1XP1	186	6	2	2	3	12	7
FBXO42	9009	1149	1351	1061	2206	2927	2658
SZRD1	4742	3372	4531	2762	5276	7265	6258
RPL22P3	381	0	0	0	0	0	0
SPATA21	4506	0	0	3	1	5	3
NECAP2	5510	746	935	477	1406	1871	1627
LINC01772	3245	27	25	30	45	70	83
CROCCP3	6905	104	143	92	235	380	358
RNU1-1	164	98	100	61	191	273	271
AL137802.2	1110	3	3	0	20	20	21
AL137802.3	1558	0	0	0	1	0	3
AL137802.1	327	0	0	0	0	0	0
LINC01783	2068	22	13	9	36	34	22
RNU1-6P	144	0	0	0	0	0	0
AL355149.1	882	0	0	0	0	0	0
NBPF1	12212	698	967	909	1352	1849	1787
AL137798.1	339	0	0	0	0	0	0
CROCCP2	5606	288	391	195	357	508	489
AL137798.3	166	0	0	0	0	0	0
MST1P2	2291	19	29	6	23	30	24
AL137798.2	817	0	0	0	0	0	0
RNU1-3	164	5	6	0	16	23	15
AL021920.2	1351	1	12	7	7	12	6
EIF1AXP1	435	6	8	16	2	10	9
ESPNP	4903	6	19	1	17	15	13
AL021920.1	406	0	0	6	0	2	0
AL021920.3	819	0	0	0	0	0	0
CROCC	8875	1233	1809	486	1696	2185	2015
CROCCP4	762	0	1	0	1	4	0
RNU1-4	164	0	9	1	14	16	26
MST1L	5298	25	26	21	30	48	48
BX284668.1	837	0	0	0	0	0	0
BX284668.3	882	0	0	0	0	0	0
MIR3675	73	0	0	0	0	0	0
BX284668.2	3293	65	80	25	58	80	84
RNU1-5P	144	0	0	0	0	0	0
BX284668.5	2130	70	96	42	58	126	105
BX284668.4	508	0	2	1	1	4	3
RNU1-2	164	121	150	69	288	363	359
BX284668.6	438	11	13	8	13	24	34
MFAP2	2915	1049	1529	493	2732	3164	2865
AL049569.2	385	0	0	0	0	2	0
AL049569.1	636	2	0	2	0	0	0
ATP13A2	5253	1892	2513	819	2076	2575	2228
SDHB	2462	1329	1712	1174	1094	1528	1252
PADI2	6000	295	396	203	234	226	232
AL590644.1	4676	0	0	0	0	0	0
AL590644.3	1228	0	0	0	0	0	0
PADI1	4903	10	9	1	18	22	10
PADI3	3189	32	33	44	199	168	187
MIR3972	87	0	3	0	1	1	0
PADI4	2971	5	2	0	0	4	3
PADI6	2396	0	0	0	2	2	0
RCC2-AS1	311	0	0	0	0	0	1
RCC2	4079	27653	34325	22468	15007	21241	18351
ARHGEF10L	7954	1303	1898	676	1098	1487	1296
AL136529.1	1328	0	0	0	0	0	0
ACTL8	1844	12	17	8	1	10	1
AL357509.1	2013	0	0	0	0	0	0
LINC01654	2471	0	0	0	0	0	0
IGSF21	3033	351	473	161	158	204	152
AL365209.1	6473	153	132	109	93	105	102
IGSF21-AS1	430	0	0	0	0	0	0
AL591896.1	491	5	4	1	0	0	2
KLHDC7A	5145	287	356	244	245	351	307
DYNLL1P3	266	0	0	0	0	0	0
AL031737.1	223	0	0	0	0	0	0
PAX7	6473	344	390	271	2989	3915	3578
TAS1R2	2542	0	0	0	0	2	1
ALDH4A1	3632	922	1297	429	898	1171	991
MIR4695	74	0	0	0	0	0	0
MIR1290	78	1	2	0	2	6	1
IFFO2	6179	464	570	407	884	1222	1112
AL137127.1	3402	45	40	41	35	64	73
UBR4	24661	26738	32183	24201	34754	47484	43198
EMC1-AS1	507	4	1	3	9	18	5
EMC1	9602	3848	4528	3574	5233	6976	6397
MRTO4	2556	1992	2719	1835	1893	2616	2320
